hierarchy,store_id,year,week_num,proj_revenue,proj_units
Ex Department 1,6,2019,31,16850.257922584402,4122.0743662198765
Ex Department 1,6,2019,32,13782.978063713621,3117.8763345308726
Ex Department 1,6,2019,33,304.5399741492947,-1710.6266862425837
Ex Department 1,6,2019,34,-1570.2020695307365,-2284.799699929712
Ex Department 1,6,2019,35,8137.9302824858605,1338.066551730055
Ex Department 1,6,2019,36,14063.957649877928,3194.711427805616
Ex Department 1,6,2019,37,14270.145753303012,3044.328125109412
Ex Department 1,6,2019,38,9066.952122945891,1319.1397135740754
Ex Department 1,6,2019,39,6412.497815169794,314.3441405724334
Ex Department 1,6,2019,40,2967.7312963087315,-915.618839013312
Ex Department 1,6,2019,41,5086.777806023638,-585.9964769090639
Ex Department 1,6,2019,42,2822.466813469262,2374.5871685031416
Ex Department 1,6,2019,43,-42490.56774785561,-15816.203330351156
Ex Department 1,6,2019,44,-42499.79380734664,-15819.569347012142
Ex Department 1,6,2019,45,-42508.51105341714,-15822.718957013349
Ex Department 1,6,2019,46,-42517.02611457632,-15826.144604647145
Ex Department 1,6,2019,47,-42521.95290421788,-15828.168519651788
Ex Department 1,6,2019,48,-42523.04980753715,-15828.20946464528
Ex Department 1,6,2019,49,-42519.2482439278,-15826.134082838991
Ex Department 1,6,2019,50,-42512.83404943868,-15823.243139190463
Ex Department 1,6,2019,51,-42506.06051489083,-15821.41526596998
Ex Department 1,6,2019,52,-42497.660436764585,-15818.78974757947
Ex Department 1,7,2019,1,94167.96,35094.0
Ex Department 1,7,2019,2,95797.11000000002,36638.0
Ex Department 1,7,2019,3,86483.82,33683.0
Ex Department 1,7,2019,4,91567.73999999999,35824.0
Ex Department 1,7,2019,5,88349.4,35564.0
Ex Department 1,7,2019,6,86892.98999999999,34866.0
Ex Department 1,7,2019,7,85518.31,34831.0
Ex Department 1,7,2019,8,90336.62999999999,36697.0
Ex Department 1,7,2019,9,86708.94,34912.0
Ex Department 1,7,2019,10,96009.03149999998,36852.25
Ex Department 1,7,2019,11,93010.73157500001,35709.2125
Ex Department 1,7,2019,12,102473.56665375001,39045.273125
Ex Department 1,7,2019,13,92278.1229864375,34141.78678125
Ex Department 1,7,2019,14,99133.46363575937,35456.6261203125
Ex Department 1,7,2019,15,104391.67081754735,36803.50742632813
Ex Department 1,7,2019,16,111565.30085842473,38505.08279764453
Ex Department 1,7,2019,17,110640.79140134594,37851.23693752676
Ex Department 1,7,2019,18,119546.44897141325,41143.89878440309
Ex Department 1,7,2019,19,110107.05991998389,37407.793723623254
Ex Department 1,7,2019,20,124300.5679159831,42172.93340980441
Ex Department 1,7,2019,21,124895.00981178225,42431.380080294635
Ex Department 1,7,2019,22,126259.45130237137,43081.14908430936
Ex Department 1,7,2019,23,125144.01386748995,42234.056538524834
Ex Department 1,7,2019,24,124607.71906086443,41923.65936545107
Ex Department 1,7,2019,25,125154.82551390765,41777.79233372363
Ex Department 1,7,2019,26,131201.65978960303,44116.381950409814
Ex Department 1,7,2019,27,122639.3837790832,41162.1510479303
Ex Department 1,7,2019,28,136275.44246803736,45632.65860032682
Ex Department 1,7,2019,29,132476.55759143922,44654.19153034316
Ex Department 1,7,2019,30,134660.3114710112,45563.901106860314
Ex Department 1,7,2019,31,129195.23046956173,43856.08366220333
Ex Department 1,7,2019,32,135667.2269142898,45917.2272203135
Ex Department 1,7,2019,33,132793.3929273168,44498.92492507917
Ex Department 1,7,2019,34,131137.16492436078,43470.43183227063
Ex Department 1,7,2019,35,139707.25898879085,46684.822117868534
Ex Department 1,7,2019,36,126845.38739735304,42431.03785244556
Ex Department 1,7,2019,37,120610.08272429943,40581.98560518561
Ex Department 1,7,2019,38,122050.57479044712,41637.82303856855
Ex Department 1,7,2019,39,121131.2530813988,42057.31925127682
Ex Department 1,7,2019,40,125202.53323946954,42415.6955276595
Ex Department 1,7,2019,41,112164.10000564388,37698.38363355226
Ex Department 1,7,2019,42,111772.26551533696,38077.63381121514
Ex Department 1,7,2019,43,111104.97622598524,37730.70804756043
Ex Department 1,7,2019,44,112081.62384391003,37790.79062301221
Ex Department 1,7,2019,45,110533.10308306228,36893.09718589026
Ex Department 1,7,2019,46,108694.43646152002,36649.662428498596
Ex Department 1,7,2019,47,102742.70579511586,34869.72645240303
Ex Department 1,7,2019,48,108538.5838959175,37006.705222626675
Ex Department 1,7,2019,49,107120.9494673115,37696.35755374166
Ex Department 1,7,2019,50,108683.74406110511,38124.71585491159
Ex Department 1,7,2019,51,106258.57669060981,37328.35659231415
Ex Department 1,7,2019,52,94203.12850166223,33027.3702388197
Ex Department 1,8,2019,1,50657.58999999999,19321.0
Ex Department 1,8,2019,2,52854.810000000005,20482.0
Ex Department 1,8,2019,3,48014.85,18929.0
Ex Department 1,8,2019,4,47815.41,19206.0
Ex Department 1,8,2019,5,46351.75,18897.0
Ex Department 1,8,2019,6,44567.52,18376.0
Ex Department 1,8,2019,7,44203.78,18619.0
Ex Department 1,8,2019,8,45960.549999999996,19796.0
Ex Department 1,8,2019,9,45986.06,19760.0
Ex Department 1,8,2019,10,50858.147000000004,18370.35
Ex Department 1,8,2019,11,44575.021349999995,15917.7675
Ex Department 1,8,2019,12,50242.849417499994,18020.205875
Ex Department 1,8,2019,13,57674.328388375,19745.61616875
Ex Department 1,8,2019,14,49938.79980779375,16240.2469771875
Ex Department 1,8,2019,15,61521.991298183435,19932.109326046877
Ex Department 1,8,2019,16,67481.97386309261,21453.21479234922
Ex Department 1,8,2019,17,69474.79755624724,21340.12553196668
Ex Department 1,8,2019,18,67721.2069340596,20906.681808565016
Ex Department 1,8,2019,19,62330.69278076259,18805.915898993266
Ex Department 1,8,2019,20,65516.343419800716,20135.061693942927
Ex Department 1,8,2019,21,61723.63159079075,18857.114778640076
Ex Department 1,8,2019,22,65906.02167033029,20442.520517572077
Ex Department 1,8,2019,23,60600.4572538468,18438.946543450682
Ex Department 1,8,2019,24,62159.73261653915,18550.443870623218
Ex Department 1,8,2019,25,60036.033747366084,18008.16606415438
Ex Department 1,8,2019,26,59283.597934734404,17952.874367362096
Ex Department 1,8,2019,27,57382.0688314711,17641.868085730202
Ex Department 1,8,2019,28,55432.17027304468,16659.111490016712
Ex Department 1,8,2019,29,54990.16928669691,16770.117064517548
Ex Department 1,8,2019,30,54951.833251031756,16687.772917743423
Ex Department 1,8,2019,31,57135.62556358335,17825.294063630594
Ex Department 1,8,2019,32,57090.3232742625,17577.470391812123
Ex Department 1,8,2019,33,56438.714967100634,17208.43361765273
Ex Department 1,8,2019,34,59186.788796036926,17848.674490097867
Ex Department 1,8,2019,35,53638.51724544907,15927.645865743387
Ex Department 1,8,2019,36,57652.39904281235,17252.72269272821
Ex Department 1,8,2019,37,55047.78580179834,16527.69808774716
Ex Department 1,8,2019,38,52574.771714075905,16039.826715536185
Ex Department 1,8,2019,39,53464.64945307671,16307.683960884744
Ex Department 1,8,2019,40,50562.162286692415,15689.122363979317
Ex Department 1,8,2019,41,54169.15573003701,17131.875397481137
Ex Department 1,8,2019,42,47765.40243699933,14596.21342842319
Ex Department 1,8,2019,43,50441.47497533278,15731.648073965745
Ex Department 1,8,2019,44,48377.302861407064,14878.883150491498
Ex Department 1,8,2019,45,46918.27037365047,14472.555114484912
Ex Department 1,8,2019,46,47701.193204964686,14951.37456700144
Ex Department 1,8,2019,47,45152.05796847619,14174.849576983406
Ex Department 1,8,2019,48,45299.24992532645,14568.748651546066
Ex Department 1,8,2019,49,46491.91140794053,15094.830509622534
Ex Department 1,8,2019,50,46385.183014002716,15453.716181877784
Ex Department 1,8,2019,51,46340.766502151266,15786.413345084502
Ex Department 1,8,2019,52,37712.29054907967,12850.369309157197
Ex Department 1,9,2019,1,0.0,0.0
Ex Department 1,9,2019,2,0.0,0.0
Ex Department 1,9,2019,3,0.0,0.0
Ex Department 1,9,2019,4,0.0,0.0
Ex Department 1,9,2019,5,0.0,0.0
Ex Department 1,9,2019,6,0.0,0.0
Ex Department 1,9,2019,7,0.0,0.0
Ex Department 1,9,2019,8,0.0,0.0
Ex Department 1,9,2019,9,0.0,0.0
Ex Department 1,9,2019,10,-69389.99350000001,-26734.8
Ex Department 1,9,2019,11,-67000.125675,-25888.54
Ex Department 1,9,2019,12,-64866.91145875,-25139.966999999997
Ex Department 1,9,2019,13,-62808.13053168751,-24415.065349999997
Ex Department 1,9,2019,14,-60533.860558271874,-23545.518617499998
Ex Department 1,9,2019,15,-57426.950086185476,-22282.894548374996
Ex Department 1,9,2019,16,-53727.33809049474,-20806.239275793745
Ex Department 1,9,2019,17,-49894.43299501948,-19298.70123958344
Ex Department 1,9,2019,18,-45980.17364477046,-17789.636301562605
Ex Department 1,9,2019,19,-42361.42832700898,-16383.018116640736
Ex Department 1,9,2019,20,-39002.47374335943,-15104.319022472777
